Address,Lat,Lon,Flood_Zone,nine,twentyone,thirtysix,Reclaimed,Flipped,Price,Price_Diff,Proptype,Year_Built,Times_Sold,Year_Sold
4 Marlborough St,42.354532,-71.072173,0,0,0,0,1,0,8477500,8145000,Apartment,1899,2,2018
58 Commonwealth Ave,42.352553,-71.074297,0,0,0,0,1,0,8425000,1850000,Three-Family,1899,2,2000
1 Dalton St #3201,42.345267,-71.084125,0,0,0,0,1,0,8400000,0,Condominium,2015,1,2019
2 Commonwealth Ave #PH4,42.353354,-71.071403,0,0,0,0,1,0,8400000,0,Condominium,1982,1,2015
15 N Beacon St #214,42.353687,-71.138183,0,0,0,0,0,3,8328500,0,Condominium,1989,5,2014
220 Boylston St #1201,42.352207,-71.068581,0,0,0,1,1,0,8301000,3898000,Condominium,1985,2,2014
114 Glenville Ave,42.348879,-71.136019,0,0,0,0,0,0,8300000,0,Apartment,1930,1,2004
75 Beacon St #1,42.355942,-71.070564,0,0,0,1,1,0,8300000,0,Condominium,1899,1,2020
77 Chestnut St,42.356974,-71.070509,0,0,0,0,1,0,8300000,0,Single-Family,1899,1,2020
1190 Adams St,42.272158,-71.067534,0,0,0,0,0,0,8275000,14550000,Apartment,1899,2,2013
1 Dalton St #4801,42.345267,-71.084125,0,0,0,0,1,0,8250000,0,Condominium,2015,1,2021
2 Brimmer St,42.358816,-71.071669,0,0,0,0,1,0,8250000,0,Apartment,1899,1,2013
2 Commonwealth Ave #16E,42.353438,-71.071446,0,0,0,0,1,0,8250000,13500000,Condominium,1982,2,2021
89 Park Dr,42.342074,-71.096018,0,0,0,0,1,0,8245500,0,Apartment,1910,1,2005
1 Dalton St #5204,42.345267,-71.084125,0,0,0,0,1,0,8240000,0,Condominium,2015,1,2019
809 Harrison Ave #809,42.33599,-71.073968,0,0,0,1,0,0,8221000,0,Condominium,0,1,2004
18 Brainerd Rd,42.34876,-71.130752,0,0,0,0,0,0,8200000,0,Apartment,1930,1,2007
24 Haviland St,42.346279,-71.088367,0,0,0,0,0,0,8200000,0,Apartment,1920,1,2008
25 Beacon St #4,42.357195,-71.06499,0,0,0,0,0,0,8200000,0,Condominium,2017,1,2019
1 Dalton St #5404,42.345267,-71.084125,0,0,0,0,1,0,8150000,0,Condominium,2015,1,2022
1 Dalton St #3101,42.345267,-71.084125,0,0,0,0,1,0,8100000,0,Condominium,2015,1,2020
126 Marlborough St,42.353061,-71.077615,0,0,0,0,1,0,8100000,5800000,Single-Family,1868,2,2021
